ID,Argila,Silte,Areia Total,Al2O3,CaO,Ce,Cl,Cr,Cu,Fe,K2O,Mn,Ni,P2O5,Rb,SiO2,Sr,Ta,Ti,V,Zn,Zr
167 Média,45,12,43,217220,158,1466,808,99,24,63641,3084,277,23,228,15,268920,2,11,6553,0,27,239
168 Média,45,18,37,213567,270,455,727,137,20,62881,1338,168,11,0,0,239510,0,18,6753,0,14,245
170 Média,56,26,18,145067,530,1490,613,3301,64,161106,2315,850,717,0,16,204769,0,0,10181,65,59,201
171 Média,44,26,30,151716,1671,1485,635,532,70,100695,3682,1092,182,0,19,262659,11,0,9971,71,81,211
172 Média,29,22,49,150617,1155,387,824,241,39,43987,20889,541,81,0,93,319935,11,0,5387,0,41,178
173 Média,37,4,59,160937,1819,0,793,0,12,26623,32791,356,9,0,221,346697,28,11,3538,0,45,215
174 Média,45,19,36,154892,0,1427,477,48,64,125846,1963,1142,17,287,9,241603,0,7,17990,156,30,317
175 Média,56,16,28,248635,898,1588,543,134,17,58077,3213,203,34,502,12,271377,24,19,4904,0,26,189
176 Média,43,23,34,149006,1581,1660,510,1796,46,108687,5092,1397,657,201,27,268809,3,0,9164,38,51,260
177 Média,54,10,36,159413,850,1641,658,256,51,77223,2697,538,65,239,16,229830,0,0,7103,0,34,193
178 Média,45,16,39,157960,804,1272,688,124,29,64322,5238,643,26,0,26,274422,4,0,11280,49,26,346
179 Média,45,8,47,200204,137,1528,704,155,16,60877,1541,304,18,0,3,279935,4,13,9022,0,19,353
180 Média,56,10,34,244996,489,1508,844,128,12,44706,3914,112,37,222,15,283643,25,22,4301,0,25,188
LBR_227 Média,58,29,13,131697,793,0,412,3611,155,209806,825,835,402,0,20,145368,0,0,13100,418,73,149
LBR_228 Média,61,16,23,177523,0,1663,402,310,38,98556,2101,349,38,0,5,204779,0,0,12981,42,25,227
LBR_208 Média,50,19,31,162425,901,1638,180,160,15,48028,4196,57,11,0,5,200633,0,19,9117,0,25,203
LBR_236 Média,34,12,54,240769,415,0,749,151,17,12970,4049,113,32,0,9,391344,2,10,7262,87,28,358
LBR_229 Média,51,8,41,175520,274,1364,441,83,33,67351,1698,588,20,515,7,256522,0,6,10460,104,32,231
LBR_209 Média,50,13,37,138166,71,1048,214,76,18,50331,2122,43,7,0,5,204243,0,8,6770,0,17,172
LBR_210 Média,52,11,37,176913,318,1352,436,134,22,51656,2958,97,42,0,8,229571,0,6,6407,0,31,151
LBR_211 Média,68,5,27,258773,0,1890,389,712,26,86883,1746,135,60,0,3,230427,0,16,7152,0,19,164
LBR_230 Média,38,30,32,217185,0,1259,585,422,18,42698,5181,0,77,0,8,288494,0,16,4352,0,28,142
